['b', 'e'],2,0.004079500002262648
['b', 'y'],3,0.002843999995093327
['n', 'u'],6,0.005794100005005021
['i', 'm'],5,0.006377400000928901
['h', 'e'],2,0.0017154000015580095
['r', 'e'],6,0.0055881000007502735
['o', 'k'],6,0.010403599997516721
['t', 'o'],8,0.010854399995878339
['i', 's'],7,0.003433099998801481
['o', 'n'],7,0.004749600004288368
['i', 'm'],5,0.005178800005523954
['a', 'n'],3,0.0018401999986963347
['s', 'o'],7,0.007475000005797483
['h', 'i'],3,0.004416800002218224
['i', 'f'],4,0.0026654999965103343
['o', 'x'],10,0.009232299998984672
['o', 'n'],7,0.006637399994360749
['h', 'e'],2,0.0014775000017834827
['a', 's'],4,0.005618800001684576
['n', 'e'],5,0.004209600003378
