['o', 'w'],9,0.030749600000000044
['n', 'e'],5,0.007852699999999935
['g', 'o'],5,0.006876800000000127
['g', 'o'],5,0.004966499999999874
['r', 'e'],6,0.00828910000000005
['o', 'f'],5,0.004741800000000129
['w', 'e'],7,0.013672600000000035
['b', 'y'],3,0.007477100000000014
['o', 'k'],6,0.004996900000000082
['w', 'e'],7,0.012468900000000005
['e', 'm'],4,0.006235099999999605
['o', 'k'],6,0.004306999999999839
['m', 'u'],7,0.010370700000000177
['i', 's'],7,0.005004700000000195
['o', 'n'],7,0.010641000000000123
['e', 'g'],3,0.0031607000000000163
['i', 't'],8,0.007931399999999922
['o', 'w'],9,0.006699199999999905
['m', 'e'],4,0.039574099999999834
['b', 'e'],2,0.0021591999999999167
