['m', 'e', 't'],8,0.013784699999999983
['s', 'u', 'e'],7,0.019340399999999924
['j', 'u', 'g'],6,0.007197099999999956
['i', 'l', 'k'],5,0.007174000000000014
['n', 'i', 'l'],6,0.04190139999999998
['d', 'o', 'r'],6,0.006178499999999865
['i', 'm', 'p'],6,0.00813290000000011
['m', 'a', 'r'],8,0.009245200000000064
['m', 'o', 'm'],9,0.009171300000000215
['t', 'e', 'a'],7,0.012575000000000003
['l', 'o', 't'],8,0.010243499999999628
['n', 'u', 't'],6,0.006284600000000307
['b', 'i', 'd'],3,0.0061163999999998
['w', 'e', 'e'],9,0.01423439999999987
['e', 'r', 'e'],5,0.005402800000000152
['y', 'a', 'p'],13,0.024235499999999632
['a', 'w', 'n'],8,0.006566099999999686
['r', 'e', 'p'],12,0.016971899999999707
['c', 'a', 'n'],5,0.007228599999999918
['l', 'o', 't'],8,0.007630400000000037
